rowname	enterotype
1	Bact_Phoc
2	Firmicutes
3	Prevotella
4	Firmicutes
5	Firmicutes
6	Firmicutes
7	Firmicutes
8	Prevotella
9	Prevotella
10	Firmicutes
11	Prevotella
12	Prevotella
13	Firmicutes
14	Firmicutes
15	Firmicutes
16	Firmicutes
17	Firmicutes
18	Firmicutes
19	Bact_Phoc
20	Bact_Phoc
21	Bact_Phoc
22	Bact_Phoc
23	Prevotella
24	Prevotella
25	Firmicutes
26	Firmicutes
27	Firmicutes
28	Firmicutes
29	Bact_Phoc
30	Bact_Phoc
31	Firmicutes
32	Firmicutes
33	Firmicutes
34	Firmicutes
35	Firmicutes
36	Prevotella
37	Firmicutes
38	Firmicutes
39	Firmicutes
40	Bact_Phoc
41	Prevotella
42	Firmicutes
43	Firmicutes
44	Firmicutes
45	Bact_Phoc
46	Firmicutes
47	Firmicutes
48	Bact_Phoc
49	Prevotella
50	Firmicutes
51	Firmicutes
52	Firmicutes
53	Bact_Phoc
54	Firmicutes
55	Firmicutes
56	Firmicutes
57	Prevotella
58	Firmicutes
59	Firmicutes
60	Firmicutes
61	Firmicutes
62	Firmicutes
63	Prevotella
64	Firmicutes
65	Firmicutes
66	Prevotella
67	Firmicutes
68	Prevotella
69	Firmicutes
70	Firmicutes
71	Firmicutes
72	Bact_Phoc
73	Firmicutes
74	Firmicutes
75	Firmicutes
76	Firmicutes
77	Firmicutes
78	Prevotella
79	Firmicutes
80	Prevotella
81	Firmicutes
82	Firmicutes
83	Firmicutes
84	Bact_Phoc
85	Prevotella
86	Firmicutes
87	Firmicutes
88	Firmicutes
89	Firmicutes
90	Prevotella
91	Firmicutes
92	Firmicutes
93	Firmicutes
94	Firmicutes
95	Prevotella
96	Firmicutes
97	Prevotella
98	Firmicutes
99	Firmicutes
100	Firmicutes
101	Firmicutes
102	Firmicutes
103	Bact_Phoc
104	Bact_Phoc
105	Firmicutes
106	Bact_Phoc
107	Firmicutes
108	Firmicutes
109	Prevotella
110	Prevotella
111	Firmicutes
112	Firmicutes
113	Firmicutes
114	Prevotella
115	Firmicutes
116	Firmicutes
117	Firmicutes
118	Firmicutes
119	Prevotella
120	Firmicutes
121	Bact_Phoc
122	Firmicutes
