rowname	enterotype
1	Firmicutes
2	Prevotella
3	Prevotella
4	Firmicutes
5	Bact_Phoc
6	Bact_Phoc
7	Prevotella
8	Firmicutes
9	Bact_Phoc
10	Prevotella
11	Bact_Phoc
12	Prevotella
13	Firmicutes
14	Prevotella
15	Prevotella
16	Firmicutes
17	Prevotella
18	Firmicutes
19	Firmicutes
20	Firmicutes
21	Prevotella
22	Bact_Phoc
23	Bact_Phoc
24	Prevotella
25	Bact_Phoc
26	Bact_Phoc
27	Firmicutes
28	Prevotella
29	Prevotella
30	Prevotella
31	Prevotella
32	Firmicutes
33	Bact_Phoc
34	Prevotella
35	Firmicutes
36	Firmicutes
37	Prevotella
38	Firmicutes
39	Firmicutes
40	Prevotella
41	Bact_Phoc
42	Firmicutes
43	Firmicutes
44	Bact_Phoc
45	Firmicutes
46	Firmicutes
47	Prevotella
48	Bact_Phoc
49	Firmicutes
50	Bact_Phoc
51	Bact_Phoc
52	Prevotella
53	Prevotella
54	Prevotella
55	Firmicutes
56	Prevotella
57	Bact_Phoc
58	Firmicutes
59	Firmicutes
60	Prevotella
61	Prevotella
62	Firmicutes
63	Prevotella
64	Prevotella
65	Firmicutes
66	Bact_Phoc
67	Prevotella
68	Bact_Phoc
69	Bact_Phoc
70	Prevotella
71	Firmicutes
72	Firmicutes
73	Prevotella
74	Prevotella
75	Firmicutes
76	Prevotella
77	Bact_Phoc
78	Bact_Phoc
79	Firmicutes
80	Bact_Phoc
81	Prevotella
82	Bact_Phoc
83	Firmicutes
84	Firmicutes
85	Bact_Phoc
86	Bact_Phoc
87	Prevotella
88	Bact_Phoc
89	Firmicutes
90	Bact_Phoc
91	Prevotella
92	Prevotella
93	Prevotella
94	Bact_Phoc
95	Bact_Phoc
96	Firmicutes
97	Bact_Phoc
98	Bact_Phoc
99	Bact_Phoc
100	Prevotella
101	Prevotella
102	Firmicutes
103	Prevotella
104	Prevotella
105	Firmicutes
106	Firmicutes
107	Prevotella
108	Firmicutes
109	Firmicutes
110	Prevotella
111	Bact_Phoc
112	Prevotella
113	Firmicutes
114	Bact_Phoc
115	Bact_Phoc
116	Firmicutes
117	Firmicutes
118	Prevotella
119	Firmicutes
120	Firmicutes
121	Bact_Phoc
122	Prevotella
123	Firmicutes
124	Prevotella
125	Firmicutes
126	Firmicutes
127	Bact_Phoc
128	Firmicutes
129	Firmicutes
130	Prevotella
131	Bact_Phoc
132	Prevotella
133	Prevotella
134	Firmicutes
135	Prevotella
136	Prevotella
137	Prevotella
138	Bact_Phoc
139	Bact_Phoc
140	Bact_Phoc
141	Firmicutes
142	Prevotella
143	Bact_Phoc
144	Bact_Phoc
145	Prevotella
146	Bact_Phoc
147	Firmicutes
148	Bact_Phoc
149	Bact_Phoc
150	Prevotella
151	Firmicutes
152	Firmicutes
153	Bact_Phoc
154	Prevotella
155	Prevotella
156	Prevotella
157	Bact_Phoc
158	Bact_Phoc
159	Bact_Phoc
160	Prevotella
161	Bact_Phoc
162	Bact_Phoc
163	Bact_Phoc
164	Prevotella
165	Firmicutes
166	Prevotella
167	Bact_Phoc
168	Firmicutes
169	Firmicutes
170	Firmicutes
171	Prevotella
172	Prevotella
173	Firmicutes
174	Bact_Phoc
175	Prevotella
176	Firmicutes
177	Bact_Phoc
178	Prevotella
179	Bact_Phoc
180	Prevotella
181	Prevotella
182	Prevotella
183	Bact_Phoc
184	Prevotella
185	Firmicutes
186	Firmicutes
187	Prevotella
188	Firmicutes
189	Firmicutes
190	Prevotella
191	Firmicutes
192	Bact_Phoc
193	Bact_Phoc
194	Firmicutes
195	Bact_Phoc
196	Bact_Phoc
197	Prevotella
198	Bact_Phoc
199	Firmicutes
200	Firmicutes
201	Prevotella
202	Prevotella
203	Bact_Phoc
204	Firmicutes
205	Prevotella
206	Bact_Phoc
207	Prevotella
208	Bact_Phoc
209	Firmicutes
210	Bact_Phoc
211	Firmicutes
212	Bact_Phoc
213	Prevotella
214	Prevotella
215	Prevotella
216	Firmicutes
217	Prevotella
218	Bact_Phoc
219	Bact_Phoc
220	Bact_Phoc
221	Bact_Phoc
222	Firmicutes
223	Firmicutes
224	Bact_Phoc
225	Bact_Phoc
226	Bact_Phoc
227	Prevotella
228	Bact_Phoc
229	Firmicutes
230	Firmicutes
231	Prevotella
232	Firmicutes
233	Prevotella
234	Bact_Phoc
235	Prevotella
236	Prevotella
237	Bact_Phoc
238	Prevotella
239	Bact_Phoc
240	Firmicutes
241	Bact_Phoc
242	Firmicutes
243	Firmicutes
244	Firmicutes
245	Prevotella
246	Prevotella
247	Bact_Phoc
248	Bact_Phoc
249	Prevotella
250	Bact_Phoc
251	Prevotella
252	Firmicutes
253	Prevotella
254	Firmicutes
255	Bact_Phoc
256	Prevotella
257	Prevotella
258	Firmicutes
259	Bact_Phoc
260	Prevotella
261	Firmicutes
262	Firmicutes
263	Firmicutes
264	Firmicutes
265	Bact_Phoc
266	Prevotella
267	Bact_Phoc
268	Bact_Phoc
269	Prevotella
270	Bact_Phoc
271	Prevotella
272	Firmicutes
273	Prevotella
274	Bact_Phoc
275	Bact_Phoc
276	Bact_Phoc
277	Prevotella
278	Firmicutes
279	Bact_Phoc
280	Bact_Phoc
281	Prevotella
282	Bact_Phoc
283	Bact_Phoc
284	Bact_Phoc
285	Bact_Phoc
286	Bact_Phoc
287	Prevotella
288	Bact_Phoc
289	Prevotella
290	Prevotella
291	Bact_Phoc
292	Firmicutes
293	Prevotella
294	Prevotella
295	Bact_Phoc
296	Bact_Phoc
297	Firmicutes
298	Firmicutes
299	Firmicutes
300	Firmicutes
301	Prevotella
302	Prevotella
303	Prevotella
304	Bact_Phoc
305	Prevotella
306	Prevotella
307	Firmicutes
308	Firmicutes
309	Firmicutes
310	Prevotella
311	Prevotella
312	Firmicutes
313	Prevotella
314	Prevotella
315	Prevotella
317	Prevotella
318	Prevotella
319	Bact_Phoc
320	Bact_Phoc
321	Bact_Phoc
322	Firmicutes
323	Prevotella
324	Bact_Phoc
325	Bact_Phoc
326	Prevotella
327	Bact_Phoc
328	Firmicutes
329	Prevotella
330	Firmicutes
331	Firmicutes
332	Bact_Phoc
333	Bact_Phoc
334	Prevotella
335	Prevotella
336	Prevotella
337	Prevotella
338	Firmicutes
339	Prevotella
340	Bact_Phoc
341	Bact_Phoc
342	Bact_Phoc
343	Firmicutes
344	Prevotella
345	Prevotella
346	Prevotella
347	Firmicutes
348	Bact_Phoc
349	Prevotella
350	Firmicutes
351	Firmicutes
352	Firmicutes
353	Prevotella
354	Prevotella
355	Firmicutes
356	Prevotella
357	Prevotella
358	Prevotella
359	Bact_Phoc
360	Bact_Phoc
361	Firmicutes
362	Prevotella
363	Prevotella
364	Bact_Phoc
365	Bact_Phoc
366	Bact_Phoc
367	Firmicutes
368	Prevotella
369	Bact_Phoc
370	Prevotella
371	Firmicutes
372	Bact_Phoc
373	Firmicutes
374	Firmicutes
375	Prevotella
376	Firmicutes
377	Firmicutes
378	Bact_Phoc
379	Firmicutes
380	Firmicutes
381	Prevotella
382	Bact_Phoc
383	Prevotella
384	Bact_Phoc
385	Bact_Phoc
386	Bact_Phoc
387	Bact_Phoc
388	Bact_Phoc
389	Bact_Phoc
390	Prevotella
391	Bact_Phoc
392	Prevotella
393	Prevotella
394	Prevotella
395	Prevotella
396	Firmicutes
397	Bact_Phoc
398	Prevotella
399	Firmicutes
400	Firmicutes
401	Bact_Phoc
402	Prevotella
403	Bact_Phoc
404	Prevotella
405	Bact_Phoc
406	Firmicutes
407	Prevotella
408	Prevotella
409	Prevotella
410	Firmicutes
411	Bact_Phoc
412	Firmicutes
413	Bact_Phoc
414	Bact_Phoc
415	Prevotella
416	Bact_Phoc
417	Firmicutes
418	Firmicutes
419	Bact_Phoc
420	Prevotella
421	Bact_Phoc
422	Firmicutes
423	Prevotella
424	Bact_Phoc
425	Bact_Phoc
426	Prevotella
427	Prevotella
428	Prevotella
429	Prevotella
430	Bact_Phoc
431	Prevotella
432	Prevotella
433	Bact_Phoc
434	Firmicutes
435	Bact_Phoc
436	Prevotella
437	Bact_Phoc
438	Firmicutes
439	Bact_Phoc
440	Bact_Phoc
441	Bact_Phoc
442	Prevotella
443	Bact_Phoc
444	Firmicutes
445	Prevotella
446	Bact_Phoc
447	Bact_Phoc
448	Firmicutes
449	Prevotella
450	Prevotella
451	Bact_Phoc
452	Bact_Phoc
453	Bact_Phoc
454	Bact_Phoc
455	Firmicutes
456	Firmicutes
457	Firmicutes
458	Bact_Phoc
459	Prevotella
460	Bact_Phoc
461	Bact_Phoc
462	Bact_Phoc
463	Prevotella
464	Prevotella
465	Firmicutes
466	Prevotella
467	Bact_Phoc
468	Bact_Phoc
469	Bact_Phoc
470	Prevotella
471	Prevotella
472	Prevotella
473	Prevotella
474	Firmicutes
475	Prevotella
476	Prevotella
477	Prevotella
478	Bact_Phoc
479	Firmicutes
480	Firmicutes
481	Bact_Phoc
482	Firmicutes
483	Firmicutes
484	Prevotella
485	Bact_Phoc
486	Prevotella
487	Prevotella
488	Firmicutes
489	Firmicutes
490	Prevotella
491	Bact_Phoc
492	Bact_Phoc
493	Firmicutes
494	Firmicutes
495	Bact_Phoc
496	Bact_Phoc
497	Prevotella
498	Firmicutes
499	Firmicutes
500	Firmicutes
501	Bact_Phoc
502	Prevotella
503	Bact_Phoc
504	Firmicutes
505	Prevotella
506	Prevotella
507	Prevotella
508	Prevotella
509	Prevotella
510	Firmicutes
511	Prevotella
512	Firmicutes
513	Prevotella
514	Prevotella
515	Firmicutes
516	Bact_Phoc
517	Firmicutes
518	Bact_Phoc
519	Prevotella
520	Firmicutes
521	Firmicutes
522	Firmicutes
523	Firmicutes
524	Firmicutes
525	Firmicutes
526	Prevotella
527	Firmicutes
528	Prevotella
529	Prevotella
530	Prevotella
531	Firmicutes
532	Prevotella
533	Prevotella
534	Bact_Phoc
535	Firmicutes
536	Firmicutes
537	Prevotella
538	Firmicutes
539	Bact_Phoc
540	Prevotella
541	Firmicutes
542	Firmicutes
543	Prevotella
544	Bact_Phoc
545	Firmicutes
546	Prevotella
547	Firmicutes
548	Bact_Phoc
549	Firmicutes
550	Firmicutes
551	Firmicutes
552	Firmicutes
553	Firmicutes
554	Prevotella
555	Firmicutes
556	Prevotella
557	Firmicutes
558	Prevotella
559	Prevotella
560	Prevotella
561	Bact_Phoc
562	Bact_Phoc
563	Firmicutes
564	Prevotella
565	Prevotella
566	Firmicutes
567	Prevotella
568	Prevotella
569	Prevotella
570	Bact_Phoc
571	Prevotella
572	Firmicutes
573	Bact_Phoc
574	Firmicutes
575	Firmicutes
576	Prevotella
577	Prevotella
578	Prevotella
579	Prevotella
580	Firmicutes
581	Prevotella
582	Prevotella
583	Prevotella
584	Prevotella
585	Firmicutes
586	Firmicutes
587	Prevotella
588	Prevotella
589	Firmicutes
590	Firmicutes
591	Prevotella
592	Firmicutes
593	Bact_Phoc
594	Prevotella
595	Bact_Phoc
596	Bact_Phoc
597	Prevotella
598	Prevotella
599	Prevotella
600	Bact_Phoc
601	Firmicutes
602	Prevotella
603	Prevotella
604	Prevotella
606	Firmicutes
607	Bact_Phoc
608	Prevotella
609	Firmicutes
610	Prevotella
611	Prevotella
612	Prevotella
613	Bact_Phoc
614	Firmicutes
615	Bact_Phoc
616	Bact_Phoc
617	Prevotella
618	Firmicutes
619	Firmicutes
620	Prevotella
621	Prevotella
622	Firmicutes
623	Firmicutes
624	Firmicutes
625	Bact_Phoc
626	Prevotella
627	Bact_Phoc
628	Bact_Phoc
629	Prevotella
630	Prevotella
631	Prevotella
632	Firmicutes
633	Bact_Phoc
634	Firmicutes
635	Prevotella
636	Prevotella
637	Prevotella
638	Firmicutes
639	Firmicutes
640	Prevotella
641	Prevotella
642	Firmicutes
643	Firmicutes
644	Prevotella
645	Firmicutes
646	Firmicutes
647	Prevotella
648	Prevotella
649	Firmicutes
650	Prevotella
651	Prevotella
652	Bact_Phoc
653	Prevotella
654	Prevotella
655	Bact_Phoc
656	Firmicutes
657	Prevotella
658	Bact_Phoc
659	Prevotella
660	Bact_Phoc
661	Firmicutes
662	Bact_Phoc
663	Bact_Phoc
664	Prevotella
665	Prevotella
666	Prevotella
667	Bact_Phoc
668	Bact_Phoc
669	Bact_Phoc
671	Firmicutes
672	Bact_Phoc
673	Bact_Phoc
674	Firmicutes
675	Firmicutes
676	Firmicutes
677	Firmicutes
678	Firmicutes
679	Prevotella
680	Firmicutes
681	Prevotella
682	Prevotella
683	Prevotella
684	Prevotella
685	Prevotella
686	Firmicutes
687	Firmicutes
688	Firmicutes
689	Prevotella
690	Bact_Phoc
691	Firmicutes
692	Bact_Phoc
693	Firmicutes
694	Firmicutes
695	Firmicutes
696	Firmicutes
697	Firmicutes
698	Firmicutes
699	Firmicutes
700	Prevotella
701	Prevotella
702	Prevotella
703	Firmicutes
704	Prevotella
705	Firmicutes
706	Prevotella
707	Firmicutes
708	Prevotella
709	Prevotella
710	Firmicutes
711	Bact_Phoc
712	Firmicutes
713	Prevotella
714	Prevotella
715	Prevotella
716	Firmicutes
717	Prevotella
718	Prevotella
719	Prevotella
720	Firmicutes
721	Prevotella
722	Firmicutes
723	Prevotella
724	Prevotella
725	Firmicutes
