Sample_ID	Cell_count_per_gram	Subject_ID
1	2.53E+11	800
2	NA	800
3	1.96E+11	800
4	NA	800
5	2.18E+11	800
6	NA	800
7	2.46E+11	800
8	2.90E+11	800
9	2.76E+11	800
10	2.62E+11	800
11	2.69E+11	800
12	NA	800
13	1.09E+11	800
14	NA	800
15	1.77E+11	800
16	1.74E+11	800
17	NA	800
18	29834254144	800
19	NA	800
20	1.77E+11	800
21	2.54E+11	800
22	NA	800
23	NA	800
24	2.00E+11	800
25	1.10E+11	800
26	2.50E+11	800
27	NA	800
28	NA	800
29	NA	800
30	NA	800
31	NA	800
32	NA	800
33	2.49E+11	800
34	2.19E+11	800
35	NA	800
36	NA	800
37	NA	800
38	2.36E+11	800
39	1.68E+11	800
40	NA	800
41	NA	800
42	NA	800
43	NA	800
44	NA	800
45	1.51E+11	800
46	2.09E+11	800
47	NA	800
48	1.45E+11	800
49	1.46E+11	800
50	NA	800
51	NA	800
52	NA	800
53	1.89E+11	800
54	NA	800
55	NA	800
56	1.85E+11	800
57	NA	800
58	2.14E+11	800
59	1.53E+11	801
60	97641509434	801
61	99590163934	801
62	1.11E+11	801
63	1.19E+11	801
64	93076923077	801
65	89915966387	801
66	1.54E+11	801
67	88157894737	801
68	86384976526	801
69	NA	801
70	1.27E+11	801
71	1.39E+11	801
72	89270386266	801
73	97959183673	801
74	1.13E+11	801
75	89686098655	801
76	73076923077	801
77	63959390863	801
78	1.13E+11	801
79	89333333333	801
80	87111111111	801
81	81447963801	801
82	9.50E+10	801
83	1.15E+11	801
84	1.00E+11	801
85	13836477987	801
86	90272373541	801
87	91150442478	801
88	82083333333	801
89	1.33E+11	801
90	98717948718	801
91	9.64E+10	801
92	1.30E+11	801
93	86473429952	801
94	1.10E+11	801
95	1.05E+11	801
96	78389830508	801
97	54502369668	801
98	1.14E+11	801
99	72916666667	801
100	97083333333	801
101	15966386555	801
102	NA	802
103	2.76E+11	802
104	2.35E+11	802
105	2.82E+11	802
106	2.66E+11	802
107	2.27E+11	802
108	3.13E+11	802
109	3.04E+11	802
110	2.93E+11	802
111	2.51E+11	802
112	1.48E+11	802
113	2.61E+11	802
114	NA	802
115	2.16E+11	802
116	1.94E+11	802
117	NA	802
118	2.27E+11	802
119	1.87E+11	802
120	NA	802
121	2.45E+11	802
122	NA	802
123	2.45E+11	802
124	3.20E+11	802
125	2.56E+11	802
126	2.68E+11	802
127	2.51E+11	802
128	1.58E+11	802
129	2.45E+11	802
130	NA	802
131	2.93E+11	802
132	NA	802
133	1.75E+11	802
134	NA	802
135	2.53E+11	802
136	NA	802
137	3.18E+11	802
138	90862944162	802
139	1.40E+11	802
140	NA	802
141	NA	802
142	1.88E+11	802
143	8.75E+10	803
144	55701754386	803
145	98630136986	803
146	55140186916	803
147	84415584416	803
148	71171171171	803
149	90291262136	803
150	51709401709	803
151	38888888889	803
152	73333333333	803
153	44725738397	803
154	49795918367	803
155	1.18E+11	803
156	66666666667	803
157	69696969697	803
158	62393162393	803
159	5.80E+10	803
160	76956521739	803
161	93248945148	803
162	32160804020	803
163	49765258216	803
164	55803571429	803
165	7.80E+10	803
166	86721991701	803
167	24271844660	803
168	38157894737	803
169	1.08E+11	803
170	35820895522	803
171	50704225352	803
172	1.25E+11	803
173	1.06E+11	803
174	50638297872	803
175	1.05E+11	803
176	70754716981	803
177	1.01E+11	803
178	61538461538	803
179	87843137255	803
180	1.10E+11	803
181	1.18E+11	803
182	8.25E+10	803
183	78174603175	803
184	76335877863	803
185	64864864865	803
186	73972602740	803
187	1.53E+11	803
188	NA	804
189	87190082645	804
190	1.31E+11	804
191	NA	804
192	7.00E+10	804
193	NA	804
194	97309417040	804
195	NA	804
196	NA	804
197	1.30E+11	804
198	1.10E+11	804
199	72375690608	804
200	NA	804
201	NA	804
202	NA	804
203	NA	804
204	NA	804
205	45833333333	804
206	88148148148	804
207	93133047210	804
208	NA	804
209	NA	804
210	91497975709	804
211	78680203046	804
212	NA	804
213	69658119658	804
214	1.09E+11	804
215	1.01E+11	804
216	NA	804
217	1.08E+11	804
218	95196506550	804
219	NA	804
220	1.03E+11	804
221	75732217573	804
222	NA	804
223	NA	804
224	1.25E+11	804
225	57062146893	804
226	52654867257	805
227	43693693694	805
228	61290322581	805
229	36324786325	805
230	37229437229	805
231	52032520325	805
232	34497816594	805
233	59047619048	805
234	30985915493	805
235	70232558140	805
236	37619047619	805
237	71367521368	805
238	39170506912	805
239	58436213992	805
240	65517241379	805
241	65665236052	805
242	53508771930	805
243	46963562753	805
244	46698113208	805
245	53688524590	805
246	42380952381	805
247	29385964912	805
248	42307692308	805
249	46188340807	805
250	60476190476	805
251	70940170940	805
252	63768115942	805
253	59259259259	805
254	58158995816	805
255	48015873016	805
256	92079207921	805
257	21702127660	805
258	53648068670	805
259	45374449339	805
260	11363636364	805
261	65652173913	805
262	68260869565	805
263	NA	805
264	NA	805
265	92574257426	806
266	NA	806
267	81165919283	806
268	NA	806
269	1.31E+11	806
270	NA	806
271	61032863850	806
272	67512690355	806
273	2.05E+11	806
274	42660550459	806
275	NA	806
276	1.30E+11	806
277	61792452830	806
278	NA	806
279	NA	806
280	1.39E+11	806
281	1.11E+11	806
282	77192982456	806
283	NA	806
284	98165137615	806
285	1.08E+11	806
286	92528735632	806
287	1.34E+11	806
288	NA	806
289	1.08E+11	806
290	91532258065	806
291	1.08E+11	806
292	NA	806
293	82439024390	806
294	1.15E+11	806
295	1.20E+11	806
296	1.40E+11	806
297	76036866359	806
298	81909547739	806
299	1.00E+11	806
300	73443983402	806
301	NA	806
302	1.19E+11	806
303	1.03E+11	806
304	NA	806
305	1.37E+11	806
306	58411214953	806
307	81666666667	807
308	1.08E+11	807
309	NA	807
310	87341772152	807
311	85067873303	807
312	76555023923	807
313	73640167364	807
314	62553191489	807
315	1.12E+11	807
316	NA	807
317	1.12E+11	807
318	74789915966	807
319	6.13E+10	807
320	52888888889	807
321	39516129032	807
322	64912280702	807
323	64285714286	807
324	91596638655	807
325	72608695652	807
326	NA	807
327	NA	807
328	42396313364	807
329	84738955823	807
330	94366197183	807
331	55762081784	807
332	38961038961	807
333	76923076923	807
334	1.12E+11	807
335	NA	807
336	76754385965	807
337	55982905983	807
338	47169811321	807
339	61751152074	807
340	83261802575	807
341	75728155340	807
342	NA	807
343	71100917431	807
344	1.11E+11	807
345	NA	807
346	1.14E+11	807
347	78775510204	807
348	98984771574	807
349	87659574468	807
350	78486055777	807
351	81363636364	807
352	75087719298	807
353	52107279693	807
354	NA	807
355	NA	808
356	1.80E+11	808
357	1.69E+11	808
358	1.63E+11	808
359	1.36E+11	808
360	84063745020	808
361	2.02E+11	808
362	1.81E+11	808
363	NA	808
364	1.67E+11	808
365	1.40E+11	808
366	1.64E+11	808
367	1.44E+11	808
368	1.74E+11	808
369	1.27E+11	808
370	1.71E+11	808
371	1.56E+11	808
372	1.60E+11	808
373	70618556701	808
374	NA	808
375	1.47E+11	808
376	1.59E+11	808
377	1.20E+11	808
378	NA	808
379	1.05E+11	808
380	NA	808
381	1.19E+11	808
382	NA	808
383	1.24E+11	808
384	NA	808
385	2521008403	808
386	8415841584	808
387	NA	808
388	53475935829	808
389	1.13E+11	808
390	1.01E+11	808
391	88738738739	808
392	90052356021	808
393	69105691057	808
394	NA	808
395	85119047619	808
396	1.17E+11	808
397	NA	808
398	65934065934	808
399	88732394366	809
400	94736842105	809
401	83265306122	809
402	1.12E+11	809
403	1.08E+11	809
404	1.08E+11	809
405	1.13E+11	809
406	1.37E+11	809
407	1.31E+11	809
408	1.17E+11	809
409	86224489796	809
410	NA	809
411	96069868996	809
412	NA	809
413	91121495327	809
414	NA	809
415	61363636364	809
416	NA	809
417	1.02E+11	809
418	1.44E+11	809
419	94420600858	809
420	55502392344	809
421	1.31E+11	809
422	NA	809
423	NA	809
424	NA	809
425	NA	809
426	NA	809
427	1.13E+11	809
428	84433962264	809
429	84322033898	809
430	NA	809
431	86026200873	809
432	1.18E+11	809
433	NA	809
434	67582417582	809
435	85353535354	809
436	1.00E+11	809
437	NA	809
438	81159420290	809
439	1.23E+11	809
440	NA	809
441	1.18E+11	810
442	58536585366	810
443	1.98E+11	810
444	1.46E+11	810
445	74619289340	810
446	1.74E+11	810
447	1.23E+11	810
448	1.83E+11	810
449	1.55E+11	810
450	82142857143	810
451	74493927126	810
452	70731707317	810
453	1.07E+11	810
454	1.32E+11	810
455	81515151515	810
456	1.14E+11	810
457	1.11E+11	810
458	1.14E+11	810
459	91594202899	810
460	49477351916	810
461	99264705882	810
462	54687500000	810
463	67018469657	810
464	NA	810
465	1.02E+11	810
466	1.11E+11	810
467	56491228070	810
468	57525083612	810
469	NA	810
470	9.00E+10	810
471	46373056995	810
472	1.04E+11	810
473	86170212766	810
474	1.42E+11	810
475	1.24E+11	810
476	1.06E+11	810
477	NA	810
478	1.39E+11	810
479	1.89E+11	810
480	1.52E+11	810
481	1.60E+11	810
482	1.21E+11	810
483	NA	811
484	1.69E+11	811
485	1.78E+11	811
486	1.85E+11	811
487	1.26E+11	811
488	1.24E+11	811
489	1.44E+11	811
490	72670807453	811
491	1.30E+11	811
492	30985915493	811
493	1.88E+11	811
494	91402714932	811
495	1.47E+11	811
496	4.38E+10	811
497	1.39E+11	811
498	1.41E+11	811
499	1.24E+11	811
500	58252427184	811
501	1.98E+11	811
502	1.76E+11	811
503	1.32E+11	811
